Time,SeaGuard_Nord_Conductivity_Sensor.Conductivity,SeaGuard_Nord_Conductivity_Sensor.Temperature,SeaGuard_Nord_Pressure_Sensor.Pressure,SeaGuard_Nord_Pressure_Sensor.Temperature,SeaGuard_Sor_Conductivity_Sensor.Conductivity,SeaGuard_Sor_Conductivity_Sensor.Temperature,SeaGuard_Sor_Pressure_Sensor.Pressure,SeaGuard_Sor_Pressure_Sensor.Temperature
2022-11-27T17:30:00Z,36.9515,11.2385,324.825,11.2396,38.4204,11.5312,732.945,11.5357
2022-11-27T18:00:00Z,36.9477,11.2359,324.975,11.2387,38.515,11.6274,733.084,11.6288
2022-11-27T18:30:00Z,36.9483,11.2423,325.302,11.2447,38.5193,11.6352,733.347,11.6343
2022-11-27T19:00:00Z,36.968,11.267,325.602,11.2681,38.4931,11.6193,733.563,11.6185
2022-11-27T19:30:00Z,36.9724,11.2907,326.284,11.2928,38.5106,11.6496,734.41,11.6465
2022-11-27T20:00:00Z,36.9643,11.2742,327.273,11.2774,38.5057,11.6673,735.285,11.6654
2022-11-27T20:30:00Z,36.957,11.2721,328.057,11.2723,38.5035,11.6735,736.108,11.6752
2022-11-27T21:00:00Z,36.9449,11.2631,329.032,11.2647,38.4886,11.6699,737.07,11.6692
2022-11-27T21:30:00Z,36.8447,11.199,330.084,11.2015,38.4982,11.6674,738.114,11.6662
2022-11-27T22:00:00Z,36.8771,11.218,330.963,11.2214,38.5072,11.6589,739.157,11.6581
2022-11-27T22:30:00Z,36.8559,11.2071,331.865,11.2075,38.4964,11.6641,740.167,11.6622
2022-11-27T23:00:00Z,36.6799,11.1209,332.772,11.1334,38.5087,11.6656,740.877,11.6646
2022-11-27T23:30:00Z,36.4849,11.0965,333.773,11.0988,38.4873,11.6516,741.927,11.6486
2022-11-28T00:00:00Z,36.3666,11.025,334.364,11.0303,38.4897,11.6498,742.369,11.6494
2022-11-28T00:30:00Z,36.3188,11.0266,334.364,11.0266,38.4767,11.6395,742.242,11.6418
2022-11-28T01:00:00Z,36.24,10.9786,334.103,10.9859,38.4566,11.6519,742.047,11.6536
2022-11-28T01:30:00Z,36.1432,10.9508,333.492,10.9506,38.405,11.6279,741.682,11.6258
2022-11-28T02:00:00Z,36.1594,10.9582,332.779,10.9698,38.4523,11.6387,740.86,11.6401
2022-11-28T02:30:00Z,35.9958,10.8935,331.661,10.9003,38.4776,11.6682,739.686,11.6653
2022-11-28T03:00:00Z,36.4855,11.1651,330.597,11.1642,38.466,11.6785,738.603,11.676
2022-11-28T03:30:00Z,36.6376,11.2172,329.753,11.2253,38.4047,11.6268,737.712,11.6263
2022-11-28T04:00:00Z,36.611,11.2072,328.974,11.2089,38.3968,11.6279,736.987,11.6288
2022-11-28T04:30:00Z,36.2212,11.0094,328.077,11.0061,38.4052,11.6424,736.168,11.6443
2022-11-28T05:00:00Z,36.0427,10.9198,327.389,10.9311,38.4515,11.6858,735.339,11.6871
2022-11-28T05:30:00Z,35.9637,10.8782,327.059,10.8896,38.4212,11.6949,734.968,11.6977
2022-11-28T06:00:00Z,35.6587,10.6654,326.843,10.6698,38.4204,11.7,734.754,11.7
2022-11-28T06:30:00Z,35.6392,10.6627,326.957,10.6654,38.4367,11.723,734.902,11.7277
2022-11-28T07:00:00Z,35.962,10.8827,327.501,10.8879,38.4435,11.7098,735.56,11.7139
2022-11-28T07:30:00Z,36.0065,10.9179,328.125,10.9124,38.452,11.7173,736.322,11.7181
2022-11-28T08:00:00Z,36.0713,10.8974,328.802,10.9007,38.4493,11.6874,737.15,11.6896
2022-11-28T08:30:00Z,36.0319,10.9029,329.804,10.9064,38.4252,11.6624,737.703,11.6637
2022-11-28T09:00:00Z,36.0564,10.9117,330.748,10.9186,38.4018,11.6422,738.539,11.6413
2022-11-28T09:30:00Z,36.1328,10.9984,331.645,10.9974,38.3932,11.6182,739.418,11.6178
2022-11-28T10:00:00Z,36.3721,11.1077,332.066,11.1123,38.3682,11.598,739.829,11.5994
2022-11-28T10:30:00Z,36.2097,11.0068,332.875,11.0108,38.3919,11.6203,740.663,11.6185
2022-11-28T11:00:00Z,36.1816,10.9829,333.536,10.9795,38.3539,11.5715,741.416,11.5692
2022-11-28T11:30:00Z,36.9222,11.3511,334.28,11.3517,38.2889,11.5049,742.187,11.5042
2022-11-28T12:00:00Z,37.0773,11.3986,335.051,11.4035,38.2691,11.5117,742.948,11.5077
2022-11-28T12:30:00Z,37.0383,11.3676,335.195,11.3734,38.2659,11.4976,743.165,11.4968
2022-11-28T13:00:00Z,37.0213,11.3359,334.96,11.3381,38.2961,11.5167,742.955,11.5213
2022-11-28T13:30:00Z,36.8767,11.2742,334.554,11.2759,38.4439,11.6175,742.607,11.617
2022-11-28T14:00:00Z,36.6427,11.2209,333.821,11.2215,38.4642,11.6499,741.783,11.6491
2022-11-28T14:30:00Z,36.6691,11.267,332.937,11.2664,38.4269,11.6501,740.842,11.6509
2022-11-28T15:00:00Z,36.7863,11.3042,331.981,11.3081,38.4167,11.6337,739.926,11.6329
2022-11-28T15:30:00Z,36.9551,11.3297,331.005,11.3274,38.4405,11.6718,738.93,11.6725
2022-11-28T16:00:00Z,36.9686,11.3422,329.988,11.3477,38.414,11.6252,737.914,11.6242
2022-11-28T16:30:00Z,37.0571,11.3892,329.09,11.3909,38.4336,11.6404,737.148,11.6422
2022-11-28T17:00:00Z,36.9564,11.3088,328.335,11.3087,38.4299,11.639,736.433,11.6389
2022-11-28T17:30:00Z,36.9326,11.3448,327.47,11.3468,38.4601,11.6158,735.596,11.6145
2022-11-28T18:00:00Z,37.0467,11.3738,326.731,11.3381,38.4432,11.543,734.763,11.5428
2022-11-28T18:30:00Z,36.9853,11.3092,326.225,11.312,38.4588,11.5773,734.205,11.5779
2022-11-28T19:00:00Z,36.9778,11.3143,326.178,11.3156,38.3223,11.3847,734.131,11.3818
2022-11-28T19:30:00Z,37.0033,11.3252,326.5,11.3219,38.3283,11.4016,734.492,11.3979
2022-11-28T20:00:00Z,37.0051,11.3412,326.807,11.3444,38.3577,11.4375,734.821,11.4355
2022-11-28T20:30:00Z,36.9865,11.3461,327.345,11.3475,38.3497,11.4257,735.432,11.4187
2022-11-28T21:00:00Z,37.0318,11.3642,328.006,11.3668,38.3396,11.4132,736.12,11.4078
2022-11-28T21:30:00Z,37.0166,11.3341,328.83,11.3395,38.3671,11.4097,736.9,11.4069
2022-11-28T22:00:00Z,37.0648,11.3367,329.475,11.3384,38.2699,11.1264,737.49,11.1199
2022-11-28T22:30:00Z,37.1143,11.3703,330.009,11.3727,38.1961,10.9935,738.065,10.9903
2022-11-28T23:00:00Z,37.1481,11.3886,330.696,11.3903,38.2117,10.9877,738.704,10.9837
2022-11-28T23:30:00Z,37.253,11.4382,331.437,11.443,38.2313,11.0233,739.435,11.022
2022-11-29T00:00:00Z,37.2457,11.4266,332.116,11.4306,38.2499,11.0624,740.118,11.0601
2022-11-29T00:30:00Z,37.2176,11.4192,332.882,11.4229,38.2332,11.0253,740.895,11.0228
2022-11-29T01:00:00Z,37.13,11.3825,333.278,11.3866,38.2262,11.0465,741.279,11.0437
2022-11-29T01:30:00Z,37.1879,11.4636,333.195,11.4667,38.2334,11.0701,741.211,11.0698
2022-11-29T02:00:00Z,37.1293,11.3808,333.045,11.3842,38.2449,11.108,741.046,11.1086
2022-11-29T02:30:00Z,37.2754,11.5405,332.712,11.5429,38.2517,11.1178,740.684,11.119
2022-11-29T03:00:00Z,37.1488,11.3851,331.822,11.3888,38.2499,11.1218,739.82,11.1213
2022-11-29T03:30:00Z,37.1693,11.3969,330.82,11.3978,38.2674,11.1603,738.762,11.163
2022-11-29T04:00:00Z,37.1585,11.3965,330.065,11.3987,38.2662,11.1625,738.077,11.1639
2022-11-29T04:30:00Z,37.1694,11.4031,329.384,11.4059,38.2675,11.1799,737.339,11.1767
2022-11-29T05:00:00Z,37.112,11.4408,328.661,11.4415,38.2873,11.2268,736.608,11.2263
2022-11-29T05:30:00Z,37.0602,11.4011,327.806,11.3931,38.3578,11.3087,735.768,11.3066
2022-11-29T06:00:00Z,37.0813,11.4079,326.984,11.4091,38.3703,11.3889,734.907,11.3883
2022-11-29T06:30:00Z,37.0765,11.4236,326.64,11.4336,38.3812,11.4597,734.539,11.4593
2022-11-29T07:00:00Z,37.1177,11.4428,326.475,11.4452,38.414,11.4855,734.666,11.485
2022-11-29T07:30:00Z,37.2416,11.5282,326.316,11.5365,38.2866,11.2551,734.485,11.2543
2022-11-29T08:00:00Z,37.2578,11.5155,326.662,11.532,38.2545,11.1916,734.703,11.1901
2022-11-29T08:30:00Z,37.2167,11.4108,327.256,11.4105,38.247,11.165,735.383,11.1671
2022-11-29T09:00:00Z,37.3481,11.458,327.722,11.4609,38.2391,11.1973,735.858,11.197
2022-11-29T09:30:00Z,37.3669,11.4671,328.326,11.4706,38.2924,11.2281,736.404,11.2305
2022-11-29T10:00:00Z,37.3422,11.4545,329.109,11.4559,38.2897,11.2479,737.13,11.2474
2022-11-29T10:30:00Z,37.2924,11.4433,329.695,11.4522,38.2781,11.2641,737.727,11.2671
2022-11-29T11:00:00Z,37.316,11.4473,330.339,11.4549,38.2726,11.2816,738.372,11.2769
2022-11-29T11:30:00Z,37.2553,11.425,331.042,11.4278,38.3293,11.3766,739.108,11.3749
2022-11-29T12:00:00Z,37.1867,11.4176,331.632,11.4195,38.3331,11.4336,739.616,11.4318
2022-11-29T12:30:00Z,37.1665,11.4131,332.129,11.4147,38.2759,11.4058,740.119,11.4009
2022-11-29T13:00:00Z,37.23,11.4922,332.682,11.4923,38.2768,11.3081,740.628,11.304
2022-11-29T13:30:00Z,37.041,11.3546,332.92,11.36,38.2983,11.3921,740.879,11.393
2022-11-29T14:00:00Z,36.9358,11.3323,332.784,11.3341,38.3119,11.4071,740.77,11.4059
2022-11-29T14:30:00Z,36.7675,11.2561,332.427,11.2603,38.3022,11.4082,740.408,11.4046
2022-11-29T15:00:00Z,36.7419,11.2404,331.849,11.2236,38.2989,11.418,739.889,11.4132
2022-11-29T15:30:00Z,36.6499,11.2001,330.939,11.1999,38.2603,11.2965,738.941,11.2948
2022-11-29T16:00:00Z,36.572,11.1693,329.969,11.1669,38.2802,11.3808,737.964,11.3573
2022-11-29T16:30:00Z,36.5929,11.1699,329.208,11.1735,38.1965,11.4006,737.208,11.4096
2022-11-29T17:00:00Z,36.471,11.1201,328.45,11.1242,38.2636,11.4284,736.404,11.4265
2022-11-29T17:30:00Z,36.471,11.1296,327.618,11.1309,38.2509,11.4032,735.552,11.4072
2022-11-29T18:00:00Z,36.4323,11.1156,326.881,11.1175,38.2287,11.332,734.827,11.3278
2022-11-29T18:30:00Z,36.5174,11.1495,326.149,11.1512,38.2625,11.3163,734.098,11.3202
2022-11-29T19:00:00Z,36.5342,11.1826,325.476,11.1808,38.2577,11.297,733.421,11.2952
2022-11-29T19:30:00Z,36.7078,11.2561,325.206,11.2586,38.2265,11.202,733.127,11.2019
2022-11-29T20:00:00Z,36.7674,11.2737,325.123,11.2756,38.2091,11.1866,733.092,11.1858
2022-11-29T20:30:00Z,36.68,11.2335,325.298,11.2353,38.2028,11.204,733.286,11.2041
2022-11-29T21:00:00Z,36.6523,11.2263,325.743,11.2277,38.2013,11.2046,733.707,11.2034
