timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2023-08-31 14:00,35.6078,15.285,28.2223,1020.69,1499.72,308.474,15.3025,55.3593,106.483,-15.7071,53.0842,1.04214,27.9079,-4.96412,-3.89335
2023-08-31 14:28,35.4634,15.3342,28.0604,1020.56,1499.69,307.363,15.3486,48.0836,113.538,-19.2024,44.0829,0.917899,28.6629,-7.8109,-1.23794
2023-08-31 15:00,35.5315,15.2463,28.183,1020.67,1499.56,306.312,15.2604,36.1684,84.9306,3.19594,36.0269,-0.548398,29.874,-7.71215,1.41759
2023-08-31 15:30,35.3564,15.0822,28.1465,1020.68,1498.99,305.683,15.0863,42.6341,113.79,-17.1978,39.0115,0.242433,27.5202,-5.31053,2.86639
2023-08-31 16:00,35.5101,15.2289,28.1767,1020.67,1499.49,305.763,15.2418,24.0993,29.6903,20.9354,11.9366,0.793793,30.4484,-6.69537,-2.61685
2023-08-31 16:30,35.4466,15.1485,28.1784,1020.69,1499.24,306.328,15.154,25.5289,31.2169,21.8326,13.2311,0.148499,31.3264,-8.5247,-6.93076
2023-08-31 17:00,35.4203,15.1545,28.151,1020.67,1499.22,307.018,15.1558,17.2055,17.9849,16.3648,5.3125,1.51878,29.5447,-7.76953,-2.44231
2023-08-31 17:30,35.4276,15.178,28.1406,1020.65,1499.29,308.025,15.1965,8.49219,55.3081,23.5847,11.3514,1.62527,34.7104,-10.4716,-16.3408
2023-08-31 18:00,35.4032,15.1253,28.1569,1020.68,1499.14,309.073,15.1445,7.25452,56.6907,3.98388,6.06274,0.172389,26.5051,-15.5697,0.197896
2023-08-31 18:30,35.4099,15.0873,28.1901,1020.71,1499.05,310.34,15.1028,16.2339,56.8599,8.87485,13.5932,-3.42758,27.4659,-13.083,8.70162
2023-08-31 19:00,35.096,14.9419,28.0169,1020.61,1498.38,311.776,14.9498,33.9754,65.0163,14.3499,30.7962,3.06308,26.2888,-10.0832,4.7712
2023-08-31 19:30,35.171,14.5318,28.3803,1020.97,1497.47,312.945,14.6172,43.7883,34.6219,36.0342,24.8787,2.35409,28.3937,-7.30175,-1.66743
2023-08-31 20:00,35.2758,14.2822,28.6579,1021.24,1496.98,314.026,14.2612,47.5411,38.2492,37.3353,29.4319,1.87364,24.1621,-7.68213,-3.36147
2023-08-31 20:30,35.2028,14.2695,28.6016,1021.19,1496.87,315.315,14.2729,7.56684,53.5205,17.7693,15.2828,0.92495,36.194,-8.74534,-13.6695
