timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
106,35.459500,35.087728,34.895328,35.280128,False,0.000818,0.014800,conductivity_conductivity:0.2123|conductivity_temperature:0.1977|conductivity_salinity:0.2034|conductivity_density:0.1799|conductivity_soundspeed:0.2067
107,35.510400,35.731992,35.539592,35.924392,False,0.000291,0.014800,conductivity_conductivity:0.2126|conductivity_temperature:0.1982|conductivity_salinity:0.2027|conductivity_density:0.1792|conductivity_soundspeed:0.2073
108,35.293300,35.438440,35.246040,35.630840,False,0.000125,0.014800,conductivity_conductivity:0.2127|conductivity_temperature:0.1986|conductivity_salinity:0.2022|conductivity_density:0.1788|conductivity_soundspeed:0.2077
109,35.256500,35.439857,35.247457,35.632257,False,0.000199,0.014800,conductivity_conductivity:0.2122|conductivity_temperature:0.1989|conductivity_salinity:0.2021|conductivity_density:0.1791|conductivity_soundspeed:0.2077
110,35.256200,35.403404,35.211004,35.595804,False,0.000128,0.014800,conductivity_conductivity:0.2116|conductivity_temperature:0.1993|conductivity_salinity:0.2019|conductivity_density:0.1794|conductivity_soundspeed:0.2078
111,35.221600,35.403589,35.211189,35.595989,False,0.000196,0.014800,conductivity_conductivity:0.2114|conductivity_temperature:0.1998|conductivity_salinity:0.2015|conductivity_density:0.1793|conductivity_soundspeed:0.2081
112,35.275600,35.377301,35.184901,35.569701,False,0.000061,0.014800,conductivity_conductivity:0.2113|conductivity_temperature:0.2006|conductivity_salinity:0.2005|conductivity_density:0.1787|conductivity_soundspeed:0.2089
113,35.391700,35.479764,35.287364,35.672164,False,0.000046,0.014800,conductivity_conductivity:0.2116|conductivity_temperature:0.2011|conductivity_salinity:0.1998|conductivity_density:0.1780|conductivity_soundspeed:0.2095
114,35.244200,35.612706,35.420306,35.805106,False,0.000804,0.014800,conductivity_conductivity:0.2116|conductivity_temperature:0.2013|conductivity_salinity:0.1996|conductivity_density:0.1778|conductivity_soundspeed:0.2097
115,35.363700,34.968145,34.775745,35.160545,False,0.000926,0.014800,conductivity_conductivity:0.2118|conductivity_temperature:0.2015|conductivity_salinity:0.1993|conductivity_density:0.1775|conductivity_soundspeed:0.2099
116,35.447300,35.652231,35.459831,35.844631,False,0.000249,0.014800,conductivity_conductivity:0.2119|conductivity_temperature:0.2015|conductivity_salinity:0.1992|conductivity_density:0.1773|conductivity_soundspeed:0.2100
117,35.607800,35.402724,35.210324,35.595124,False,0.000249,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.2014|conductivity_salinity:0.1990|conductivity_density:0.1765|conductivity_soundspeed:0.2103
118,35.463400,35.456938,35.264538,35.649338,False,0.000000,0.014800,conductivity_conductivity:0.2130|conductivity_temperature:0.2014|conductivity_salinity:0.1989|conductivity_density:0.1762|conductivity_soundspeed:0.2104
119,35.531500,35.170604,34.978204,35.363004,False,0.000771,0.014800,conductivity_conductivity:0.2133|conductivity_temperature:0.2012|conductivity_salinity:0.1991|conductivity_density:0.1762|conductivity_soundspeed:0.2103
120,35.356400,35.785714,35.593314,35.978114,False,0.001091,0.014800,conductivity_conductivity:0.2127|conductivity_temperature:0.2011|conductivity_salinity:0.1994|conductivity_density:0.1768|conductivity_soundspeed:0.2100
121,35.510100,35.036947,34.844547,35.229347,False,0.001325,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.2007|conductivity_salinity:0.1997|conductivity_density:0.1770|conductivity_soundspeed:0.2097
122,35.446600,35.842074,35.649674,36.034474,False,0.000925,0.014800,conductivity_conductivity:0.2126|conductivity_temperature:0.2006|conductivity_salinity:0.1999|conductivity_density:0.1773|conductivity_soundspeed:0.2096
123,35.420300,35.152290,34.959890,35.344690,False,0.000425,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.2007|conductivity_salinity:0.1998|conductivity_density:0.1771|conductivity_soundspeed:0.2097
124,35.427600,35.558681,35.366281,35.751081,False,0.000102,0.014800,conductivity_conductivity:0.2126|conductivity_temperature:0.2007|conductivity_salinity:0.1998|conductivity_density:0.1772|conductivity_soundspeed:0.2096
125,35.403200,35.576696,35.384296,35.769096,False,0.000178,0.014800,conductivity_conductivity:0.2125|conductivity_temperature:0.2008|conductivity_salinity:0.1999|conductivity_density:0.1773|conductivity_soundspeed:0.2096
126,35.409900,35.556883,35.364483,35.749283,False,0.000128,0.014800,conductivity_conductivity:0.2125|conductivity_temperature:0.2006|conductivity_salinity:0.2000|conductivity_density:0.1775|conductivity_soundspeed:0.2094
127,35.096000,35.555625,35.363225,35.748025,False,0.001250,0.014800,conductivity_conductivity:0.2117|conductivity_temperature:0.2006|conductivity_salinity:0.2003|conductivity_density:0.1783|conductivity_soundspeed:0.2091
128,35.171000,34.762905,34.570505,34.955305,False,0.000985,0.014800,conductivity_conductivity:0.2113|conductivity_temperature:0.1995|conductivity_salinity:0.2018|conductivity_density:0.1796|conductivity_soundspeed:0.2079
129,35.275800,35.458669,35.266269,35.651069,False,0.000198,0.014800,conductivity_conductivity:0.2111|conductivity_temperature:0.1977|conductivity_salinity:0.2040|conductivity_density:0.1812|conductivity_soundspeed:0.2060
130,35.202800,35.428190,35.235790,35.620590,False,0.000301,0.014800,conductivity_conductivity:0.2115|conductivity_temperature:0.1956|conductivity_salinity:0.2062|conductivity_density:0.1823|conductivity_soundspeed:0.2044
131,35.344400,35.107125,34.914725,35.299525,False,0.000333,0.014800,conductivity_conductivity:0.2119|conductivity_temperature:0.1954|conductivity_salinity:0.2063|conductivity_density:0.1821|conductivity_soundspeed:0.2043
132,35.366000,35.440507,35.248107,35.632907,False,0.000033,0.014800,conductivity_conductivity:0.2120|conductivity_temperature:0.1967|conductivity_salinity:0.2047|conductivity_density:0.1810|conductivity_soundspeed:0.2056
133,35.523300,35.603226,35.410826,35.795626,False,0.000038,0.014800,conductivity_conductivity:0.2127|conductivity_temperature:0.1982|conductivity_salinity:0.2027|conductivity_density:0.1791|conductivity_soundspeed:0.2073
134,35.518200,35.756634,35.564234,35.949034,False,0.000336,0.014800,conductivity_conductivity:0.2130|conductivity_temperature:0.1992|conductivity_salinity:0.2014|conductivity_density:0.1780|conductivity_soundspeed:0.2084
135,35.654700,35.414959,35.222559,35.607359,False,0.000340,0.014800,conductivity_conductivity:0.2137|conductivity_temperature:0.1993|conductivity_salinity:0.2010|conductivity_density:0.1772|conductivity_soundspeed:0.2088
136,36.276900,35.750842,35.558442,35.943242,False,0.001637,0.014800,conductivity_conductivity:0.2158|conductivity_temperature:0.1977|conductivity_salinity:0.2019|conductivity_density:0.1763|conductivity_soundspeed:0.2083
137,35.752500,36.655093,36.462693,36.847493,False,0.004821,0.014800,conductivity_conductivity:0.2164|conductivity_temperature:0.1971|conductivity_salinity:0.2024|conductivity_density:0.1761|conductivity_soundspeed:0.2080
138,36.059800,35.342905,35.150505,35.535305,False,0.003041,0.014800,conductivity_conductivity:0.2175|conductivity_temperature:0.1960|conductivity_salinity:0.2032|conductivity_density:0.1758|conductivity_soundspeed:0.2075
139,35.992200,36.487230,36.294830,36.679630,False,0.001450,0.014800,conductivity_conductivity:0.2167|conductivity_temperature:0.1962|conductivity_salinity:0.2033|conductivity_density:0.1764|conductivity_soundspeed:0.2073
140,35.806000,35.646764,35.454364,35.839164,False,0.000150,0.014800,conductivity_conductivity:0.2169|conductivity_temperature:0.1966|conductivity_salinity:0.2028|conductivity_density:0.1760|conductivity_soundspeed:0.2077
141,35.788700,35.649115,35.456715,35.841515,False,0.000115,0.014800,conductivity_conductivity:0.2160|conductivity_temperature:0.1981|conductivity_salinity:0.2014|conductivity_density:0.1757|conductivity_soundspeed:0.2088
142,35.801400,35.630698,35.438298,35.823098,False,0.000172,0.014800,conductivity_conductivity:0.2154|conductivity_temperature:0.1996|conductivity_salinity:0.1999|conductivity_density:0.1752|conductivity_soundspeed:0.2099
143,35.711100,35.649091,35.456691,35.841491,False,0.000023,0.014800,conductivity_conductivity:0.2151|conductivity_temperature:0.1999|conductivity_salinity:0.1997|conductivity_density:0.1752|conductivity_soundspeed:0.2100
144,35.579800,35.454137,35.261737,35.646537,False,0.000093,0.014800,conductivity_conductivity:0.2146|conductivity_temperature:0.1997|conductivity_salinity:0.2002|conductivity_density:0.1759|conductivity_soundspeed:0.2096
145,35.506000,35.415566,35.223166,35.607966,False,0.000048,0.014800,conductivity_conductivity:0.2139|conductivity_temperature:0.1993|conductivity_salinity:0.2009|conductivity_density:0.1770|conductivity_soundspeed:0.2089
146,35.497700,35.278037,35.085637,35.470437,False,0.000286,0.014800,conductivity_conductivity:0.2134|conductivity_temperature:0.1991|conductivity_salinity:0.2013|conductivity_density:0.1776|conductivity_soundspeed:0.2085
